Rank,Symbol,Name,Price(USD)
1,BTC,Bitcoin,29373.9040960517543571
2,ETH,Ethereum,1842.3555125499233464
3,USDT,Tether,0.9984441522414849
4,BNB,BNB,239.3527763738591659
5,XRP,XRP,0.6252238927229056
6,USDC,USD Coin,0.9998755573679451
7,DOGE,Dogecoin,0.0743173254916202
8,SOL,Solana,24.9779468692134274
9,ADA,Cardano,0.2892316235313215
10,TRX,TRON,0.0772240894896375
11,MATIC,Polygon,0.6758318920981750
12,DOT,Polkadot,4.9736933200885769
13,SHIB,Shiba Inu,0.0000102781393428
14,LTC,Litecoin,81.9285233148765158
15,DAI,Multi Collateral DAI,1.0004109201506520
16,WBTC,Wrapped Bitcoin,29411.3990169502951636
17,BCH,Bitcoin Cash,233.2427700556349040
18,AVAX,Avalanche,12.3124836305438246
19,LINK,Chainlink,7.3219833948231121
20,XLM,Stellar,0.1349602158964470
21,LEO,UNUS SED LEO,3.9551475147097016
22,UNI,Uniswap,6.2268057398343682
23,BUSD,Binance USD,0.9996399006837229
24,XMR,Monero,158.3373640605662188
25,TUSD,TrueUSD,0.9978468385987630
26,ETC,Ethereum Classic,17.2873569348447113
27,ATOM,Cosmos,8.4795327083663871
28,ICP,Internet Computer,4.0403290331300723
29,FIL,Filecoin,4.0279825487903316
30,LDO,Lido DAO,1.8184796253513377
31,BTCB,Bitcoin BEP2,29387.9311449224358869
32,CRO,Crypto.com Coin,0.0565739652199852
33,VET,VeChain,0.0184042505307062
34,NEAR,NEAR Protocol,1.3309059900962352
35,QNT,Quant,101.0355471268471255
36,MKR,Maker,1233.3530301840988808
37,HBAR,Hedera Hashgraph,0.0726063467771920
38,GRT,The Graph,0.1079336431719102
39,AAVE,Aave,65.3604841960173099
40,ALGO,Algorand,0.1137244699174744
41,AXS,Axie Infinity,5.7769481404527898
42,STX,Stacks,0.5791498793020696
43,SAND,The Sandbox,0.3896995750760968
44,EOS,EOS,0.7141347517118064
45,THETA,THETA,0.7531924943867449
46,XTZ,Tezos,0.7832559762845061
47,EGLD,MultiversX,30.6567368433276581
48,XDC,XinFin Network,0.0598593280621166
49,MANA,Decentraland,0.3633371021662765
50,BSV,Bitcoin SV,35.6770327020364287
51,FTM,Fantom,0.2395213041648715
52,RNDR,Render Token,1.7227647942496072
53,NEO,Neo,8.4346230288600788
54,CFX,Conflux,0.1855741953267606
55,SNX,Synthetix,2.5052663901945413
56,KAVA,Kava,0.8271068469846147
57,FLOW,Flow,0.5467476675158407
58,XEC,eCash,0.0000287908865844
59,INJ,Injective,7.4070537590734799
60,CHZ,Chiliz,0.0748822733091439
61,RUNE,THORChain,1.5591066781910552
62,KCS,KuCoin Token,5.4867563746782187
63,RPL,Rocket Pool,26.8749662147316880
64,GALA,Gala,0.0229029020219059
65,CRV,Curve DAO Token,0.5852326154209133
66,ZEC,Zcash,30.8799748546857805
67,FXS,Frax Share,6.9174373493458459
68,KLAY,Klaytn,0.1561972120938813
69,MIOTA,IOTA,0.1679007724200802
70,MINA,Mina,0.4816249538430567
71,COMP,Compound,56.1298159107815089
72,CSPR,Casper,0.0385315940843801
73,HT,Huobi Token,2.5721716319354201
74,TWT,Trust Wallet Token,0.9516544034745920
75,GT,GateToken,4.0515422833549084
76,FTT,FTX Token,1.1360274154303272
77,DASH,Dash,32.0227944122494652
78,GUSD,Gemini Dollar,0.9841121350014817
79,AR,Arweave,5.3815643680348889
80,NEXO,Nexo,0.6281794286056388
81,DYDX,dYdX,2.1635308718439618
82,WOO,WOO Network,0.1899905084988302
83,CAKE,PancakeSwap,1.4809900449162477
84,ZIL,Zilliqa,0.0199940583493306
85,1INCH,1inch Network,0.3059161327131813
86,BAT,Basic Attention Token,0.2088352228752640
87,LRC,Loopring,0.2202560097482750
88,ENJ,Enjin Coin,0.2869521978331723
89,MASK,Mask Network,3.4542461441007349
90,GNO,Gnosis,109.4068858873729698
91,ROSE,Oasis Network,0.0473889209258229
92,AGIX,SingularityNET,0.2201492627083720
93,QTUM,Qtum,2.5223903329781639
94,HNT,Helium,1.8263101901727048
95,XEM,NEM,0.0291059786615385
96,AKT,Akash Network,1.1832410682895040
97,CELO,Celo,0.4912354813091068
98,TFUEL,Theta Fuel,0.0392109086203852
99,ANKR,Ankr,0.0239173793105938
100,RVN,Ravencoin,0.0179576761543213
